rxn_smiles,barrier
[CH:1]1([OH:6])[CH2:2][CH2:3][CH2:4][CH2:5]1>>[CH:1]1=[CH:2][CH2:3][CH2:4][CH2:5]1.[OH2:6],63.20476
[CH2:1]1[CH2:2][CH2:3][CH2:4][CH:5]1[OH:6]>>[CH2:1]=[CH2:2].[CH2:3]=[CH:4][CH2:5][OH:6],107.75396
[CH2:1]1[CH2:2][CH2:3][CH2:4][CH:5]1[OH:6]>>[CH2:1]=[CH:2][CH2:3][CH2:4][CH:5]=[O:6].[H:7][H:8],88.47536
[CH2:1]1[CH2:2][CH2:3][CH:4]([OH:6])[CH2:5]1>>[CH2:1]=[CH2:2].[CH2:3]=[C:4]([CH3:5])[OH:6],106.66318
[CH2:1]1[CH2:2][CH:3]([OH:6])[CH2:4][CH2:5]1>>[CH2:1]1[CH2:2][C@H:3]2[CH2:4][C@@H:5]12.[OH2:6],96.254
[CH2:1]1[CH:3]([OH:4])[CH2:2][CH2:6][CH2:5]1>>[CH3:1]/[CH:2]=[CH:3]\[OH:4].[CH2:5]=[CH2:6],108.59933
[OH:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6]1>>[OH:1][C@@H:2]1[CH:3]=[CH:4][CH2:5][CH2:6]1.[H:7][H:8],106.1555
[CH2:1]1[CH2:2][CH:3]([OH:4])[CH2:6][CH2:5]1>>[CH3:1][CH2:2][C:3]1([OH:4])[CH2:5][CH2:6]1,116.28447
[OH:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6]1>>[OH:1][C:2]1=[CH:3][CH2:4][CH2:5][CH2:6]1.[H:7][H:8],119.7306
[CH2:1]1[CH2:2][CH2:3][CH2:4][CH:5]1[OH:6]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]=[O:6],79.0211
[OH:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6]1>>[O:1]=[CH:2][CH:3]1[CH2:4][CH2:5][CH2:6]1.[H:7][H:8],103.78744
[OH:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6]1>>[OH:1][CH:2]1[CH2:3][CH:4]=[CH:5][CH2:6]1.[H:7][H:8],115.98983
[CH2:1]1[CH2:2][CH2:3][CH2:4][CH:5]1[OH:6]>>[CH:1][CH2:2][CH2:3][CH2:4][CH2:5][OH:6],115.71548
[CH2:1]1[CH2:2][CH2:3][CH2:4][CH:5]1[OH:6]>>[CH3:1][CH2:2][C@H:3]1[CH2:4][C@H:5]1[OH:6],119.42386
[CH2:1]1[CH2:2][CH2:3][CH2:4][CH:5]1[OH:6]>>[CH2:1]1[CH2:2][CH2:3][CH2:4]1.[CH:5][OH:6],137.06258
[CH2:1]1[CH2:2][CH2:3][CH:5]([OH:6])[CH2:4]1>>[CH2:1]=[CH:2][CH2:3][CH2:4][CH2:5][OH:6],102.18914
[CH:1](=[N:2]/[CH3:7])\[NH:4][CH:5]=[O:6]>>[CH:1]#[N:2].[H:3]/[N:4]=[CH:5]\[O:6][CH3:7],107.32878999999998
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH3:1]/[N:2]=[CH:3]/[NH+:4]=[C-:5][OH:6],72.22379000000002
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH3:1][NH+:2]=[C-:3][NH:4][CH:5]=[O:6],70.69436
[NH:2](/[CH:3]=[N:6]/[CH3:7])[CH:5]=[O:4]>>[H:1]/[N:2]=[CH:3]/[O:4]/[CH:5]=[N:6]\[CH3:7],50.38201
[CH:1](=[O:2])[NH:4]/[CH:5]=[N:6]/[CH3:7]>>[C-:1]#[O+:2].[H:3]/[N:4]=[CH:5]/[NH:6][CH3:7],43.51054
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH:1]#[N:2].[CH3:3][NH:4][CH:5]=[O:6],98.04276
[CH3:1]/[N:2]=[CH:6]/[NH:5][CH:4]=[O:3]>>[CH3:1][N:2]1[O:3][C@H:4]2[NH:5][C@@H:6]12,116.69467
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH2-:1][NH+:2]=[CH:3][NH:4][CH:5]=[O:6],78.03220999999998
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH2:1]=[N:2][CH2:3][NH:4][CH:5]=[O:6],80.22594000000002
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH3:1][NH:2]/[CH:3]=[N:4]/[CH:5]=[O:6],44.29001
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH3:1]/[N:2]=[CH:3]/[N:4]=[CH:5]/[OH:6],45.24489000000001
[CH3:1]/[N:2]=[CH:3]/[NH:4][CH:5]=[O:6]>>[CH2:1]=[N:2][C@@H:3]1[NH:4][C@@H:5]1[OH:6],86.12677
[CH2:1]([C:2]#[N:3])[CH2:4][O:5][CH3:6]>>[CH2:1]=[C:2]=[N:3][CH2:4][O:5][CH3:6],75.54618
[CH2:1]([CH2:2][C:3]#[N:4])[O:6][CH3:5]>>[CH2:1]=[CH:2][C:3]#[N:4].[CH3:5][OH:6],58.85652
[C:1](#[N:2])[CH2:3][CH2:4][O:5][CH3:6]>>[C-:1]#[N+:2][CH2:3][CH2:4][O:5][CH3:6],59.73369
[CH2:1]([C:2]#[N:3])[CH2:4][O:6][CH3:5]>>[CH2:1]=[C:2]=[N:3][CH3:4].[CH2:5]=[O:6],91.18199
[C:1](#[N:2])[CH2:3][CH2:4][O:5][CH3:6]>>[CH:1]#[N:2].[CH2:3]=[CH:4][O:5][CH3:6],84.3233
[CH3:1][O:2][CH2:3][CH:4]=[O:5]>>[CH3:1][O:2][C@H:3]1[CH2:4][O:5]1,66.42035
[CH3:1][O:2][CH2:3][CH:4]=[O:5]>>[CH2:1]=[O+:2][CH:3]=[CH:4][O-:5].[H:6][H:7],74.59470999999998
[CH:1](=[O:2])[CH2:3][O:4][CH3:5]>>[CH-:1]=[O+:2][CH2:3][O:4][CH3:5],100.69992
[CH2:1]([CH:2]=[O:3])[O:4][CH3:5]>>[CH2:1]=[CH:2][O:3][O:4][CH3:5],87.96627
[CH3:1][O:3][CH2:2][CH:4]=[O:5]>>[CH2:1]=[CH:2][OH:3].[CH2:4]=[O:5],56.80752
[C:1](#[N:2])[CH2:3][CH:4]([CH3:5])[CH3:6]>>[C-:1]#[N+:2][CH2:3][CH:4]([CH3:5])[CH3:6],59.30894
[C:1](#[N:2])[CH2:3][CH:5]([CH3:4])[CH3:6]>>[CH:1]1=[N:2][CH2:3]1.[CH2:4]=[CH:5][CH3:6],99.96469
[CH:1]([CH2:2][C:3]#[N:4])([CH3:5])[CH3:6]>>[CH3:1][CH2:2][C:3]1=[N:4][C@@H:5]1[CH3:6],148.02635
[CH2:1]([C:2]#[N:3])[CH:5]([CH3:4])[CH3:6]>>[CH2:1]=[C:2]=[N:3][CH2:4][CH2:5][CH3:6],99.14967
[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]#[N:6]>>[CH3:1][CH:2]([CH3:3])[CH:4]=[C:5]=[NH:6],91.99066
[CH2:1]([C:2]#[N:3])[CH:5]([CH3:4])[CH3:6]>>[CH2:1]=[C:2]=[NH:3].[CH2:4]=[CH:5][CH3:6],68.38353000000001
[CH3:1][CH:2]([CH3:3])[CH2:6][C:4]#[N:5]>>[CH3:1][CH:2]1[CH2:3][C:4](=[NH:5])[CH2:6]1,101.62226
[CH3:1][CH:2]([CH2:3][C:4]#[N:5])[CH3:6]>>[CH3:1][C@@H:2]1[CH2:3][C:4][NH:5][CH2:6]1,91.6563
[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]#[N:6]>>[CH3:1][C:2]([CH3:3])=[CH:4][C:5]#[N:6].[H:7][H:8],100.00654
[CH:1](=[O:2])[CH2:3][CH2:4][CH3:5]>>[CH-:1]=[O+:2][CH2:3][CH2:4][CH3:5],113.08191
[CH2:1]([CH2:2][CH3:3])[CH:4]=[O:5]>>[CH2:1]=[CH:2][CH3:3].[CH2:4]=[O:5],75.45451
[CH2:1]([CH3:2])[CH2:3][CH:4]=[O:5]>>[CH2:1]=[CH2:2].[CH2:3]=[CH:4][OH:5],58.89712
[CH3:1][CH2:2][CH2:3][CH:4]=[O:5]>>[CH4:1].[CH2:2]=[CH:3][CH:4]=[O:5],95.23448
[CH2:1]([CH2:2][CH3:3])[CH:4]=[O:5]>>[CH3:1][CH2:2][CH3:3].[C-:4]#[O+:5],83.59612
[CH2:1]([CH:2]=[O:3])[CH2:4][CH3:5]>>[CH2:1]=[CH:2][O:3][CH2:4][CH3:5],89.5795
[CH3:1][CH2:2][CH2:3][CH:4]=[O:5]>>[CH3:1][CH2:2]/[CH:3]=[CH:4]\[OH:5],71.02608000000002
[CH3:1][CH2:2][CH2:3][CH:4]=[O:5]>>[CH3:1][C@H:2]1[CH2:3][C@H:4]1[OH:5],79.21441999999998
[NH2:1][c:2]1[n:3][cH:4][nH:5][cH:6]1>>[NH2:1][C:2]1=[N:3][CH:4]=[N:5][CH2:6]1,44.07153
[nH:2]1[cH:3][n:5][c:6]([NH2:7])[cH:4]1>>[H:1]/[N:2]=[CH:3]/[C@@H:4]1[N:5]=[C:6]1[NH2:7],103.42911
[NH2:2][c:3]1[cH:4][nH:5][cH:6][n:7]1>>[H:1]/[N:2]=[C:3]1/[CH2:4][NH:5][CH:6]=[N:7]1,74.2526
[nH:2]1[cH:3][c:4]([NH2:5])[n:7][cH:6]1>>[H:1]/[N:2]=[CH:3]/[C@:4]1([NH2:5])[CH:6]=[N:7]1,98.794
[c:1]1([NH2:2])[n:4][cH:5][nH:7][cH:6]1>>[CH:1]#[N:2].[H:3]/[N:4]=[CH:5]/[C:6][NH2:7],84.32625
[NH2:1][c:2]1[cH:3][nH:4][cH:5][n:6]1>>[NH2:1][C:2]1=[CH:3][NH:4][C:5][NH:6]1,68.62703
[NH2:1][c:2]1[cH:3][nH:4][cH:5][n:6]1>>[NH3+:1][c:2]1[c-:3][nH:4][cH:5][n:6]1,74.94034
[NH2:1][c:2]1[cH:3][nH:4][cH:5][n:6]1>>[NH:1]=[C:2]1[CH-:3][NH2+:4][CH:5]=[N:6]1,116.19069
[NH2:1][c:2]1[n:3][cH:4][nH:5][cH:6]1>>[NH2:1][C:2]1=[N:3][CH2:4][N:5]=[CH:6]1,42.75096
[NH2:1][c:2]1[cH:3][nH:4][cH:5][n:6]1>>[NH-:1][c:2]1[cH:3][nH+:4][cH:5][nH:6]1,60.51886
[cH:1]1[nH:2][cH:3][n:6][c:5]1[NH2:4]>>[CH-:1]=[NH+:2][CH-:3][N+:4]#[C:5][NH2:6],98.11207
[NH2:1][c:2]1[cH:3][nH:4][cH:5][n:6]1>>[NH2:1][C@@H:2]1[C-:3]=[NH+:4][CH:5]=[N:6]1,61.58283
[nH:2]1[cH:3][c:4]([NH2:5])[n:6][cH:7]1>>[H:1]/[N:2]=[CH:3]/[C:4]([NH2:5])=[N+:6]=[CH-:7],67.14405
[CH2:1]1[C@H:3]2[CH2:2][C@H:4]3[C@@H:5]1[N:6]23>>[CH2:1]1[CH2:2][C@H:3]2[C@H:4]3[C@@H:5]1[N:6]23,67.43646
[CH2:1]1[C@@H:2]2[C@@H:5]3[CH2:4][C@H:3]1[N:6]23>>[CH:1][C@H:2]1[C@H:3]2[CH2:4][CH2:5][N:6]12,87.78411
[C@@H:1]12[CH2:2][C@H:3]3[N:4]1[C@H:5]3[CH2:6]2>>[C:1]1[CH2:2][C@@H:3]2[NH:4][C@@H:5]2[CH2:6]1,64.7911
[C@@H:1]12[CH2:2][C@H:3]3[CH2:4][C@@H:5]1[N:6]23>>[CH2:1]=[CH:2][C@@H:3]1[CH2:4][CH:5]=[N:6]1,48.94916
[CH2:1]1[C@H:2]2[CH2:3][C@H:4]3[C@@H:5]1[N:6]23>>[CH2:1]=[CH:2][CH2:3][C@@H:4]1[CH:5]=[N:6]1,73.26969
[C@@H:1]12[CH2:2][C@H:3]3[CH2:4][C@@H:5]1[N:6]23>>[CH:1][CH2:2][C@@H:3]1[CH2:4][CH:5]=[N:6]1,65.13054
[C@@H:1]12[CH2:2][C@H:3]3[CH2:4][C@@H:5]1[N:6]23>>[C:1]1[CH2:2][C@@H:3]2[CH2:4][C@H:5]1[NH:6]2,55.39236
[CH2:1]1[C@H:2]2[N:3]3[C@H:4]2[CH2:5][C@H:6]13>>[CH:1]1=[CH:2][N:3]2[CH2:4][CH2:5][C@@H:6]12,97.93085
[C@H:1]12[CH2:2][C@H:3]1[C@H:4]1[NH:5][C@@H:6]21>>[C:1]1[CH2:2][CH2:3][C@H:4]2[NH:5][C@@H:6]12,52.43458
[CH2:1]1[C@@H:2]2[C@H:3]1[C@@H:4]1[NH:5][C@H:6]21>>[CH3:1][C@@H:2]1[CH:3]=[CH:4][N:5]=[CH:6]1,57.22525
[CH2:1]1[C@H:2]2[C@H:4]3[NH:3][C@H:5]3[C@@H:6]12>>[CH:1][C@@H:2]1[NH:3][C@@H:4]1[CH:5]=[CH2:6],52.71382
[C@@H:1]12[NH:2][C@@H:3]1[C@@H:4]1[CH2:5][C@H:6]21>>[C:1]1[NH:2][CH2:3][C@@H:4]2[CH2:5][C@H:6]12,55.11052
[C@H:1]12[NH:2][C@H:3]1[C@H:4]1[CH2:5][C@@H:6]21>>[CH:1][NH:2][C@@H:3]1[C@@H:4]2[CH2:5][C@H:6]12,59.57971
[C@@H:1]12[CH2:2][C@@H:3]1[C@H:4]1[C@@H:5]2[NH:6]1>>[CH:1]1=[CH:2][CH:3]1[C@@H:4]1[CH:5]=[N:6]1.[H:7][H:8],78.23057
[CH2:1]1[C@@H:3]2[C@H:2]3[C@@H:5]([C@H:4]12)[NH:6]3>>[CH-:1]1[C@@H:2]2[C@H:3]3[CH2:4][C@H:5]3[NH+:6]12,106.44113
[C@@H:1]12[NH:2][C@@H:3]1[C@@H:4]1[CH2:5][C@H:6]21>>[C:1]1[NH:2][C@H:3]1[CH:4]1[CH2:5][CH2:6]1,57.38544
[C@@H:1]12[CH2:2][C@@H:3]1[C@H:4]1[C@@H:5]2[NH:6]1>>[C:1]1[CH2:2][C@H:3]1[C@@H:4]1[CH2:5][NH:6]1,63.36111999999999
[NH:1]1[C@H:2]2[C@@H:3]1[C@H:4]1[CH2:5][C@@H:6]21>>[NH2:1][C@H:2]1[C:3][C@H:4]2[CH2:5][C@@H:6]12,57.52873
[C@H:1]12[CH2:2][C@H:3]1[C@H:5]1[NH:4][C@@H:6]21>>[CH:1]1=[CH:2][C@@H:3]2[NH:4][C@@H:5]2[CH2:6]1,36.48517
[C@H:1]12[NH:2][C@H:3]1[C@H:4]1[CH2:5][C@@H:6]21>>[CH:1]1=[N:2][CH2:3][C@H:4]2[CH2:5][C@@H:6]12,51.09316
[CH2:1]1[C@H:5]2[C@@H:4]3[C@@H:2]([NH:3]3)[C@@H:6]12>>[CH:1]1=[CH:2][NH:3][CH:4]=[CH:5][CH2:6]1,42.92067
[CH2:1]1[C@@H:2]2[C@H:3]1[C@@H:4]1[NH:5][C@H:6]21>>[CH3:1][C@@H:2]1[C@@H:3]2[CH:4]=[N:5][C@H:6]12,57.18288
[cH:1]1[cH:2][o:3][c:5](=[O:6])[o:4]1>>[CH2:1]=[C:2]=[O:3].[O:4]=[C:5]=[O:6],60.34929
[o:1]1[cH:2][cH:3][o:4][c:5]1=[O:6]>>[O:1]=[CH:2][C@H:3]1[O:4][C:5]1=[O:6],64.01629
[O:1]=[c:2]1[o:3][cH:4][cH:5][o:6]1>>[O:1]=[C:2]1[O:3][CH2:4][C-:5]=[O+:6]1,60.98093000000001
[cH:1]1[cH:2][o:3][c:4](=[O:5])[o:6]1>>[C:1]=[CH:2][O:3][C:4](=[O:5])[OH:6],90.06701
[CH2:1]1[O:2][CH2:6]/[C:5](=[N:4]/[H:3])[O:7]1>>[CH2:1]=[O:2].[H:3]/[N:4]=[CH:5]/[CH:6]=[O:7],79.95255
[H:1]/[N:2]=[C:3]1\[O:4][CH2:5][O:6][CH2:7]1>>[H:1]/[N:2]=[CH:3]\[O:4][CH2:5][O+:6]=[CH-:7],89.13266
[H:1]/[N:2]=[C:3]1/[CH2:4][O:5][CH2:6][O:7]1>>[H:1]/[N:2]=[C:3]1/[C-:4]=[O+:5][CH2:6][O:7]1.[H:8][H:9],85.39112
[H]/[N:6]=[C:2]1\[O:1][CH2:5][O:4][CH2:3]1>>[O:1]=[C:2]1[CH2:3][O:4][CH2:5][NH:6]1,59.65278000000001
[H]/[N:1]=[C:2]1/[CH2:3][O:4][CH2:5][O:6]1>>[N:1]#[C:2][CH2:3][O:4][CH2:5][OH:6],64.26243000000001
[H]/[N:5]=[C:3]1/[CH2:4][O:2][CH2:1][O:6]1>>[CH2:1]1[O:2][C:3]2([CH2:4][NH:5]2)[O:6]1,95.50948
[H:1]/[N:2]=[C:3]1\[O:4][CH2:7][O:6][CH2:5]1>>[H:1]/[N:2]=[C:3](\[OH:4])[CH2:5][O+:6]=[CH-:7],79.18188
[H:1]/[N:2]=[C:3]1/[CH2:4][O:5][CH2:7][O:6]1>>[H:1]/[N:2]=[C:3](/[CH2:4][OH:5])[O+:6]=[CH-:7],74.16939
[H]/[N:1]=[C:2]1/[CH2:3][O:4][CH2:5][O:6]1>>[NH2:1][C:2]1=[CH:3][O:4][CH2:5][O:6]1,75.31924000000002
[H]/[N:6]=[C:4]1\[O:3][CH2:1][O:2][CH2:5]1>>[CH2:1]=[O:2].[O:3]=[C:4]1[CH2:5][NH:6]1,61.8599
[N:1]#[C:2][C:3](=[O:4])[CH:5]=[O:6]>>[N:1]#[C:2][C:3]([O-:4])=[C+:5][OH:6],82.41201
[N:1]#[C:2][C:3](=[O:4])[CH:5]=[O:6]>>[NH:1]=[C:2]=[C:3]=[O:4].[C-:5]#[O+:6],39.98908
[C:1](#[N:2])[C:3](=[O:4])[CH:5]=[O:6]>>[C-:1]#[N+:2][C:3](=[O:4])[CH:5]=[O:6],44.33302
[CH:1](=[O:2])[C:5]([C:4]#[N:3])=[O:6]>>[C-:1]#[O+:2].[N-:3]=[C:4]=[C+:5][OH:6],53.39436
[N:1]#[C:2][C:3](=[O:4])[CH:5]=[O:6]>>[N-:1]=[C:2]=[C:3]=[O+:4][CH:5]=[O:6],48.25547
[O:1]=[C:2]1[CH2:3][C@@H:4]2[C@H:5]1[O:6]2>>[O:1]=[C:2]=[CH:3][C@@H:4]1[CH2:5][O:6]1,84.10118
[O:1]=[C:2]1[C@H:3]2[C@H:4]([O:5]2)[CH2:6]1>>[O-:1][C:2]1=[C+:3][C@H:4]([OH:5])[CH2:6]1,65.10837
[CH2:1]1[C@H:2]2[O:3][C@H:4]2[C:5]1=[O:6]>>[CH:1][C@H:2]1[O:3][CH2:4][C:5]1=[O:6],102.42706
[CH2:1]1[C@H:2]2[O:3][C@H:4]2[C:5]1=[O:6]>>[CH2:1]=[C:2]1[O:3][C@H:4]1[CH:5]=[O:6],56.35166
[O:1]=[C:2]1[C@H:3]2[C@@H:5]([CH2:4]1)[O:6]2>>[O:1]=[CH:2][C@H:3]1[CH:4]=[CH:5][O:6]1,85.90795
[O:1]1[C@H:2]2[C:3](=[O:4])[CH2:5][C@@H:6]12>>[O-:1][C:2]1=[C:3]=[O+:4][CH2:5][CH2:6]1,62.44734
[CH2:1]1[C:2](=[O:3])[C@H:4]2[C@@H:5]1[O:6]2>>[CH3:1][C:2](=[O:3])[C@H:4]1[C-:5]=[O+:6]1,58.53086
[C@@H:1]12[O:2][C@@H:3]1[CH2:4][C:5]2=[O:6]>>[CH-:1]=[O+:2][C@@H:3]1[CH2:4][C:5]1=[O:6],90.49853
[O:1]=[C:2]1[C@@H:3]2[O:4][C@@H:5]2[CH2:6]1>>[OH:1][C:2]1=[C:3]2[O:4][C@@H:5]2[CH2:6]1,79.53759000000002
[O:1]=[C:2]1[CH2:3][C@@H:4]2[C@H:5]1[O:6]2>>[O:1]=[C:2]1[CH2:3][C:4][C@H:5]1[OH:6],63.67482
[CH2:1]1[C@H:2]2[O:3][C@H:4]2[C:5]1=[O:6]>>[CH2:1]=[CH:2][O:3][CH:4]=[C:5]=[O:6],30.66696
[O:1]=[C:2]1[CH2:3][C@H:4]2[O:5][C@@H:6]12>>[OH:1][C:2]1=[CH:3][C@H:4]2[O:5][C@@H:6]12,79.85719
[O:1]1[C@H:4]2[C:3](=[O:2])[CH2:6][C@@H:5]12>>[O-:1][O+:2]=[C:3]1[CH:4]=[CH:5][CH2:6]1,128.56071
[O:1]=[C:2]1[C@H:3]2[C@@H:5]([CH2:4]1)[O:6]2>>[O:1]=[CH:2][C@H:3]1[CH2:4][C:5]1=[O:6],48.85203
[O:1]=[C:2]1[CH2:3][C@@H:4]2[C@H:5]1[O:6]2>>[O:1]=[CH:2]/[CH:3]=[CH:4]\[CH:5]=[O:6],84.1483
[O:1]=[C:2]1[CH2:3][C@H:4]2[O:5][C@@H:6]12>>[O:1]=[C:2]1[CH2:3][C-:4]=[O+:5][CH2:6]1,57.45454
[CH2:1]1[C:2](=[O:3])[C@H:4]2[C@@H:5]1[O:6]2>>[CH+:1]=[C:2]([O-:3])[C@H:4]1[CH2:5][O:6]1,77.90454
[cH:1]1[n:2][n:4][cH:3][n:5][n:6]1>>[CH:1]#[N:2].[CH:3]#[N:4].[N:5]#[N:6],39.95493
[cH:1]1[n:2][n:3][cH:4][n:5][n:6]1>>[CH:1]#[N+:2][N-:3][CH-:4][N+:5]#[N:6],58.986880000000006
[CH3:1][N:2]1[CH2:3][CH2:4]1>>[CH3:1][NH+:2]1[CH-:3][CH2:4]1,63.58988000000001
[CH3:1][N:2]1[CH2:3][CH2:4]1>>[CH2-:1][N+:2]1=[CH:3][CH2:4]1.[H:5][H:6],82.4376
[CH2:1]1[N:2]([CH3:3])[CH2:4]1>>[CH2:1]=[N+:2]([CH2-:3])[CH3:4],44.72763
[H]/[N:4]=[C:3](\[NH:2][CH3:1])[CH:5]=[O:6]>>[CH2+:1][NH:2][C:3]([NH2:4])=[CH:5][O-:6],55.80681
[H]/[N:5]=[C:2](/[CH:1]=[O:6])[NH:3][CH3:4]>>[CH+:1]=[C:2]([NH:3][CH3:4])[NH:5][O-:6],131.51216000000002
[H]/[N:6]=[C:5](/[CH:1]=[O:2])[NH:4][CH3:3]>>[CH2:1]=[O:2].[CH3:3][N:4]=[C:5]=[NH:6],93.05683
[H]/[N:4]=[C:3](\[NH:2][CH3:1])[CH:5]=[O:6]>>[CH3:1][NH+:2]=[C-:3][NH:4][CH:5]=[O:6],50.68719
[H]/[N:4]=[C:3](\[NH:2][CH3:1])[CH:5]=[O:6]>>[CH4:1].[NH:2]=[C:3]=[N:4][CH:5]=[O:6],96.40135
[H]/[N:3]=[C:4](\[NH:2][CH3:1])[CH:5]=[O:6]>>[CH3:1][NH2:2].[N:3]#[C:4][CH:5]=[O:6],60.67423
[H]/[N:3]=[C:4](\[NH:2][CH3:1])[CH:5]=[O:6]>>[CH2:1]=[NH:2].[NH:3]=[C:4]=[CH:5][OH:6],83.49707
[H]/[N:6]=[C:3](\[NH:2][CH3:1])[CH:4]=[O:5]>>[CH3:1][NH:2][c:3]1[cH:4][o:5][nH:6]1,90.63352
[H]/[N:6]=[C:5](/[CH:1]=[O:2])[NH:4][CH3:3]>>[CH2:1]=[O:2].[CH3:3][NH:4][C:5]#[N:6],84.18222
[C:1](=[O:2])([O:3][CH3:4])[CH2:5][OH:6]>>[CH2:1]=[O:2].[O:3]=[CH:4][CH2:5][OH:6],78.14563000000003
[CH3:1][O:2][C:3](=[O:4])[CH2:5][OH:6]>>[CH3:1][O+:2]=[C-:3][O:4][CH2:5][OH:6],97.29357
[CH3:1][O:2][C:3](=[O:4])[CH2:5][OH:6]>>[CH3:1][O:2][C:3](=[O:4])[CH:5]=[O:6].[H:7][H:8],96.39103
[CH3:1][O:2][C:3](=[O:4])[CH2:5][OH:6]>>[CH3:1][O:2][C@:3]1([OH:4])[CH2:5][O:6]1,56.56064
[CH:1](=[O:2])[CH2:3][O:4][CH2:5][CH3:6]>>[CH-:1]=[O+:2][CH2:3][O:4][CH2:5][CH3:6],100.9833
[CH3:1][CH2:2][O:3][CH2:4][CH:5]=[O:6]>>[CH3:1][CH2:2][O:3]/[CH:4]=[CH:5]/[OH:6],66.79423
[O:1]=[CH:2][CH2:4][O:5][CH2:6][CH3:3]>>[OH:1][C@@H:2]1[CH2:3][CH2:4][O:5][CH2:6]1,79.16126
